CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,BalanceToSalary,ZeroBalance,ProductsPerYear,EngagementProducts,AgeTenure,CreditScorePerAge,ChurnProbability,ActualChurn,PredictedChurn,RiskTier
585,36,7,0,2,1,0,94283.09,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.25,0,252,16.25,0.016461458,0,0,Low
525,33,4,131023.76,2,0,0,55072.93,FALSE,TRUE,FALSE,FALSE,TRUE,2.379052303,0,0.4,0,132,15.90909091,0.09290527,0,0,Low
557,40,4,0,2,0,1,105433.53,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,0.4,2,160,13.925,0.023405513,0,0,Low
639,34,5,139393.19,2,0,0,33950.08,FALSE,FALSE,TRUE,FALSE,TRUE,4.105707094,0,0.333333333,0,170,18.79411765,0.06875841,0,0,Low
640,34,3,77826.8,1,1,1,168544.85,FALSE,FALSE,TRUE,TRUE,FALSE,0.461754472,0,0.25,1,102,18.82352941,0.11500191,0,0,Low
559,34,0,0,1,1,0,182988.94,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,1,0,0,16.44117647,0.25946656,0,0,Low
595,30,9,130682.11,2,1,1,57862.88,FALSE,TRUE,FALSE,FALSE,TRUE,2.258440153,0,0.2,2,270,19.83333333,0.04326167,0,0,Low
706,29,6,185544.36,1,1,0,171037.63,FALSE,TRUE,FALSE,TRUE,FALSE,1.084809671,0,0.142857143,0,174,24.34482759,0.34148547,0,0,Medium
505,49,7,80001.23,1,0,0,135180.11,TRUE,FALSE,FALSE,FALSE,TRUE,0.591807761,0,0.125,0,343,10.30612245,0.45774165,0,0,Medium
714,40,0,0,2,1,0,62762.12,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,2,0,0,17.85,0.06817048,0,0,Low
699,54,3,111009.32,1,1,1,155905.79,FALSE,TRUE,FALSE,TRUE,FALSE,0.712023639,0,0.25,1,162,12.94444444,0.6765646,1,1,  Medium-High
625,38,7,0,1,1,0,164804.02,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,0.125,0,266,16.44736842,0.31342214,0,0,Medium
721,35,10,0,2,1,0,71594.26,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,0.181818182,0,350,20.6,0.014837788,0,0,Low
727,31,10,96997.09,2,0,0,76614.04,FALSE,FALSE,TRUE,TRUE,FALSE,1.26603197,0,0.181818182,0,310,23.4516129,0.057765678,0,0,Low
670,38,10,89416.99,1,0,0,144275.39,TRUE,FALSE,FALSE,FALSE,TRUE,0.619761764,0,0.090909091,0,380,17.63157895,0.08939603,0,0,Low
702,30,2,0,2,1,1,145537.32,FALSE,FALSE,TRUE,FALSE,TRUE,0,1,0.666666667,2,60,23.4,0.007078436,0,0,Low
633,42,1,0,2,1,0,56865.62,TRUE,FALSE,FALSE,TRUE,FALSE,0,1,1,0,42,15.07142857,0.066516355,0,0,Low
491,61,8,0,2,0,1,139861.53,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,0.222222222,2,488,8.049180328,0.12191538,0,0,Low
617,58,3,119024.75,2,1,0,35199.24,FALSE,TRUE,FALSE,TRUE,FALSE,3.381361888,0,0.5,0,174,10.63793103,0.9139809,1,1,High
